Gene,Importance
KRTAP13-2 (337959),0.00027829592
SLC35A2 (7355),0.0002777713
ZNF674 (641339),0.00027462962
PBX1 (5087),0.00027358936
FKBP1A (2280),0.00027300644
COQ9 (57017),0.0002727325
LYSMD3 (116068),0.00027140742
LGR4 (55366),0.00026904303
BEND7 (222389),0.00026799354
LAYN (143903),0.00026727418
STYX (6815),0.00026601012
STC2 (8614),0.00026520295
PIK3C2A (5286),0.00026400277
ZER1 (10444),0.0002629399
DIO2 (1734),0.00026267773
CPE (1363),0.0002626687
SPATS1 (221409),0.00026246053
TTC28 (23331),0.0002624569
PTGR1 (22949),0.00026241093
MPZL1 (9019),0.00026171064
TMEM184A (202915),0.0002613686
TMEM272 (283521),0.00026013152
AGBL5 (60509),0.00026001304
AOX1 (316),0.00025998495
SWI5 (375757),0.00025995576
PRDM7 (11105),0.00025978655
CD33 (945),0.00025920014
SLC25A10 (1468),0.0002591863
ZNF93 (81931),0.00025872205
